Cluster,Variant,Pango lineage,Cluster count,Cluster %,Lineage %
-1,Omicron,BA.5.2*,695,12.143980429844488,4.363659195077541
-1,Omicron,Unassigned,665,11.619779835750482,10.308479305534025
-1,Omicron,BQ.1.1*,479,8.36973615236764,4.423307784652322
-1,Omicron,BA.2,398,6.954394548313822,2.8565276681260316
-1,Omicron,BA.1.1*,381,6.657347544993884,2.9325738916256157
-1,Omicron,XBB.1.5*,291,5.084745762711865,3.5648658581403896
-1,Omicron,BA.5.1*,255,4.4557050497990565,3.3403196227403718
-1,Omicron,BA.2.12*,115,2.0094356106936924,2.153961415995505
-1,Omicron,CH.1.1*,96,1.6774419011008215,3.6543585839360486
-1,Omicron,BF.5,93,1.6250218416914204,3.8766152563568155
-1,Omicron,BA.1,88,1.5376550760090861,1.6454749439042633
-1,Omicron,BE.1.1*,86,1.5027083697361525,7.445887445887446
-1,Omicron,BA.4.6*,80,1.397868250917351,3.7700282752120637
-1,Omicron,BF.7,78,1.3629215446444174,4.521739130434783
-1,Omicron,BA.1.15*,76,1.3279748383714836,2.438241899262111
-1,Omicron,BA.2.9*,63,1.100821247597414,2.827648114901257
-1,Omicron,BQ.1,63,1.100821247597414,4.618768328445748
-1,Omicron,BA.2.3*,59,1.0309278350515463,2.3780733575171302
0,Omicron,BA.2,1674,18.943080230847574,12.014641498600446
0,Omicron,BA.1.1*,858,9.7091773226208,6.604064039408867
0,Omicron,BA.5.2*,716,8.10229715966957,4.495510767878446
0,Omicron,BA.2.12*,526,5.952246237410886,9.852032215770743
0,Omicron,BQ.1.1*,472,5.341179133189996,4.358666543540493
0,Omicron,BA.5.1*,354,4.005884349892497,4.6371495939219285
0,Omicron,Unassigned,316,3.57587416544076,4.89846535420865
0,Omicron,BA.2.9*,303,3.428765418128324,13.59964093357271
0,Omicron,BA.2.3*,233,2.636641394138282,9.391374445787989
0,Omicron,BA.1,230,2.6026932216815664,4.300673148840688
0,Omicron,BF.5,141,1.5955641054656557,5.877448937057108
0,Omicron,XBB.1.5*,138,1.5616159330089396,1.6905549430356486
0,Omicron,BA.1.17*,137,1.5502998755233677,4.019953051643192
0,Omicron,BA.1.15*,130,1.4710874731243635,4.170676932948348
0,Omicron,BA.4.1*,114,1.2900305533552112,5.205479452054795
0,Omicron,BA.4.6*,110,1.244766323412923,5.183788878416588
0,Omicron,BA.2.10*,95,1.0750254611293424,9.443339960238568
1,Omicron,BA.5.2*,1737,14.123099438978779,10.906008664531926
1,Omicron,BQ.1.1*,1308,10.635010976502155,12.078677624896113
1,Omicron,XBB.1.5*,732,5.951703390519555,8.967291436971701
1,Omicron,BA.5.1*,643,5.228067322546549,8.422845166361016
1,Omicron,Unassigned,601,4.886576144401984,9.316385056580376
1,Omicron,BA.2,471,3.829579640621189,3.380463647455681
1,Omicron,BA.2.12*,301,2.44735344336938,5.637759880127365
1,Omicron,BF.5,257,2.0896007805512644,10.712796998749479
1,Omicron,BF.7,227,1.8456785104480038,13.159420289855072
1,Omicron,BA.4.6*,220,1.7887633140905765,10.367577756833176
1,Omicron,BQ.1,204,1.658671436702171,14.95601173020528
1,Omicron,BA.1.1*,196,1.593625498007968,1.5086206896551724
1,Omicron,CH.1.1*,191,1.5529717863240915,7.270650932622763
1,Omicron,BA.2.3*,176,1.4310106512724612,7.093913744457881
1,Omicron,XBB.1,163,1.3253110008943816,13.755274261603375
1,Omicron,BA.5.5*,131,1.0651272461175705,6.164705882352941
2,Omicron,XBB.1.5*,1959,12.497607655502392,23.998529952223446
2,Omicron,BQ.1.1*,1734,11.062200956937799,16.012558869701728
2,Omicron,BA.2,982,6.26475279106858,7.048015502763224
2,Omicron,Unassigned,982,6.26475279106858,15.222446132382577
2,Omicron,BA.1.1*,886,5.652312599681021,6.819581280788177
2,Omicron,BA.5.2*,865,5.518341307814992,5.431029070132479
2,Omicron,BA.2.12*,661,4.216905901116427,12.380595617156771
2,Omicron,CH.1.1*,591,3.7703349282296648,22.4971450323563
2,Omicron,BA.5.1*,407,2.5964912280701755,5.3314121037463975
2,Omicron,BA.1,277,1.7671451355661882,5.179506357516829
2,Omicron,BN.1.3*,252,1.6076555023923447,18.19494584837545
2,Omicron,XBB.1.9*,230,1.467304625199362,21.081576535288725
2,Omicron,XBB.1,184,1.1738437001594897,15.527426160337555
2,Omicron,BN.1.2*,182,1.1610845295055823,23.636363636363637
2,Omicron,BA.1.15*,180,1.1483253588516746,5.7747834456207885
2,Omicron,BA.1.17*,170,1.0845295055821371,4.988262910798122
2,Omicron,BQ.1,169,1.0781499202551834,12.390029325513197
3,Omicron,XBB.1.5*,1624,14.852752880921896,19.89464657601372
3,Omicron,BQ.1.1*,807,7.380647521492592,7.452211653892327
3,Omicron,BA.2,763,6.978233034571063,5.476207564774277
3,Omicron,BA.5.2*,729,6.667276385586245,4.577133170088529
3,Omicron,Unassigned,662,6.05450887141028,10.261974887614324
3,Omicron,BA.1.1*,634,5.7984269251874885,4.879926108374384
3,Omicron,BA.2.12*,501,4.58203768062923,9.38377973403259
3,Omicron,BA.2.75*,357,3.265044814340589,28.199052132701425
3,Omicron,CH.1.1*,325,2.972379732943113,12.371526456033498
3,Omicron,BA.5.1*,258,2.359612218767148,3.3796175006549647
3,Omicron,BF.7.14*,209,1.9114688128772637,31.61875945537065
3,Omicron,BA.1,180,1.6462410828608012,3.3657442034405385
3,Omicron,XBB.1.9*,154,1.4084507042253522,14.115490375802016
3,Omicron,BA.5.5*,141,1.2895555149076274,6.635294117647058
3,Omicron,BA.4.1*,136,1.243826595939272,6.210045662100456
3,Omicron,XBB.1.16*,119,1.088348271446863,16.620111731843576
3,Omicron,BA.1.15*,117,1.0700567038595208,3.753609239653513
3,Omicron,BA.2.3*,114,1.0426193524785072,4.594921402660217
4,Omicron,BA.5.2*,1145,9.563183830284808,7.1890500408112015
4,Omicron,BA.2,1134,9.471310448509145,8.138950692600302
