UMAP 1,UMAP 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
7.285389,-3.0855045,1,EPI_ISL_3061928,Alpha,B.1.1.7,2021-07-13
2.4411764,3.020277,1,EPI_ISL_2365898,Alpha,B.1.1.7,2021-04-08
10.29394,-1.2395701,1,EPI_ISL_1854436,Alpha,B.1.1.7,2021-04-15
-0.56734896,7.9669933,1,EPI_ISL_1727852,Alpha,B.1.1.7,2021-04-16
-1.5804329,7.5342274,1,EPI_ISL_1345834,Alpha,B.1.1.7,2021-03-14
5.6078925,0.13490582,1,EPI_ISL_2698198,Alpha,B.1.1.7,2021-05-05
12.39904,-3.1233006,1,EPI_ISL_1748267,Alpha,B.1.1.7,2021-03-09
8.825,1.3824396,1,EPI_ISL_1416033,Alpha,B.1.1.7,2021-03-15
7.3676434,-4.51341,1,EPI_ISL_2439774,Alpha,B.1.1.7,2021-05-17
-2.039832,-4.4484453,1,EPI_ISL_2230106,Alpha,B.1.1.7,2021-04-27
5.576575,0.13469696,1,EPI_ISL_2304239,Alpha,B.1.1.7,2021-05-10
4.188979,2.6608477,1,EPI_ISL_2147191,Alpha,B.1.1.7,2021-05-04
0.024276733,8.27129,1,EPI_ISL_1756127,Alpha,Q.4,2021-04-06
4.181097,2.6608896,1,EPI_ISL_2583257,Alpha,B.1.1.7,2021-05-11
2.100803,5.9148054,1,EPI_ISL_1265316,Alpha,B.1.1.7,2021-02-18
3.2727528,7.102562,1,EPI_ISL_1189642,Alpha,B.1.1.7,2021-02-25
9.122774,-3.8988233,1,EPI_ISL_3796434,Alpha,B.1.1.7,2021-03-29
-0.59101486,7.9512806,1,EPI_ISL_2383055,Alpha,B.1.1.7,2021-05-12
12.375389,-3.1390772,1,EPI_ISL_2390010,Alpha,B.1.1.7,2021-05-18
2.495655,3.0751963,1,EPI_ISL_1846884,Alpha,B.1.1.7,2021-04-15
9.478518,-2.1272182,1,EPI_ISL_2320894,Alpha,B.1.1.7,2021-05-08
3.1752038,4.6821632,1,EPI_ISL_3045849,Alpha,B.1.1.7,2021-07-05
0.3307867,7.6102753,1,EPI_ISL_2932700,Alpha,B.1.1.7,2021-07-07
-4.1233883,-5.944207,1,EPI_ISL_1394833,Alpha,B.1.1.7,2021-02-26
3.2884793,7.0948915,1,EPI_ISL_2300122,Alpha,B.1.1.7,2021-05-17
-9.630308,-3.804573,1,EPI_ISL_1741577,Alpha,B.1.1.7,2021-04-16
3.733235,7.4688463,1,EPI_ISL_2550340,Alpha,B.1.1.7,2021-05-24
2.280283,4.382737,1,EPI_ISL_2269731,Alpha,B.1.1.7,2021-05-07
-0.5908532,7.967039,1,EPI_ISL_2940271,Alpha,B.1.1.7,2021-06-23
9.387192,-2.30791,1,EPI_ISL_2270270,Alpha,B.1.1.7,2021-05-05
9.563948,-0.20425606,1,EPI_ISL_3074238,Alpha,B.1.1.7,2021-06-07
6.9715185,4.7892494,1,EPI_ISL_2093250,Alpha,B.1.1.7,2021-04-20
3.054933,3.4571228,1,EPI_ISL_2252871,Alpha,B.1.1.7,2021-05
-0.57522535,7.9513664,1,EPI_ISL_2322137,Alpha,B.1.1.7,2021-04-28
0.36276627,2.013628,1,EPI_ISL_1902610,Alpha,B.1.1.7,2021-04-12
-3.8737392,2.6068006,1,EPI_ISL_1420333,Alpha,B.1.1.7,2021-02-08
1.9488399,7.3533916,1,EPI_ISL_2633034,Alpha,B.1.1.7,2021-06-09
9.548367,-0.21197224,1,EPI_ISL_2420013,Alpha,B.1.1.7,2021-05-05
12.391047,-3.1468515,1,EPI_ISL_2403045,Alpha,B.1.1.7,2021-05-25
3.2571087,7.0870028,1,EPI_ISL_2958143,Alpha,B.1.1.7,2021-06-07
12.398836,-3.1234741,1,EPI_ISL_3388702,Alpha,B.1.1.7,2021-06-14
5.969576,2.0724802,1,EPI_ISL_1413432,Alpha,B.1.1.7,2021-03-20
12.383194,-3.13093,1,EPI_ISL_3021529,Alpha,B.1.1.7,2021-04-23
-1.3113832,6.007571,1,EPI_ISL_14095212,Alpha,B.1.1.7,2021-05-19
6.709299,-1.2794318,1,EPI_ISL_11696110,Alpha,B.1.1.7,2021-08-12
10.262512,-1.1929407,1,EPI_ISL_1811046,Alpha,B.1.1.7,2021-04-20
