t-SNE component 1,t-SNE component 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
-0.19259174,-14.8350935,0,EPI_ISL_1189016,Alpha,B.1.1.7,2021-02-26
-0.19853927,-14.836308,0,EPI_ISL_963648,Alpha,B.1.1.7,2021-01-28
9.131644,-14.807566,0,EPI_ISL_3046981,Alpha,B.1.1.7,2021-05-06
-0.14867455,-14.841965,0,EPI_ISL_1568736,Alpha,B.1.1.7,2021-03-22
-0.14188685,-14.842703,0,EPI_ISL_1236778,Alpha,B.1.1.7,2021-02-23
-0.14990032,-14.845311,0,EPI_ISL_1727440,Alpha,B.1.1.7,2021-04-16
-0.1475935,-14.866301,0,EPI_ISL_2361986,Alpha,B.1.1.7,2021-05-22
-0.18550138,-14.835117,0,EPI_ISL_1050139,Alpha,B.1.1.7,2021-02-08
-0.17338043,-14.841032,0,EPI_ISL_2239526,Alpha,B.1.1.7,2021-05-02
1.4906895,-4.367618,0,EPI_ISL_3061928,Alpha,B.1.1.7,2021-07-13
-0.1851308,-14.82908,0,EPI_ISL_2650498,Alpha,B.1.1.7,2021-01-21
-0.1635252,-14.861278,0,EPI_ISL_1382350,Alpha,B.1.1.7,2021-03-13
-0.16570948,-14.850854,0,EPI_ISL_1247703,Alpha,B.1.1.7,2021-02-19
-0.16375396,-14.847572,0,EPI_ISL_8103089,Alpha,B.1.1.7,2021-07-19
-0.17325456,-14.834996,0,EPI_ISL_2980274,Alpha,B.1.1.7,2021-06-29
-0.1909084,-14.84399,0,EPI_ISL_1960466,Alpha,B.1.1.7,2021-04-18
-0.15639569,-14.838317,0,EPI_ISL_1804895,Alpha,B.1.1.7,2021-04-14
-0.15778334,-14.843808,0,EPI_ISL_1244127,Alpha,B.1.1.7,2021-03-01
-0.16577461,-14.828053,0,EPI_ISL_1988631,Alpha,B.1.1.7,2021-04
-0.16206509,-14.865604,0,EPI_ISL_2779017,Alpha,B.1.1.7,2021-06-03
-0.17148036,-14.828412,0,EPI_ISL_1926885,Alpha,B.1.1.7,2021-04-09
-0.1453341,-14.84269,0,EPI_ISL_8886245,Alpha,B.1.1.7,2021-03-01
-0.16026248,-14.852169,0,EPI_ISL_3046492,Alpha,B.1.1.7,2021-05-24
-0.15561806,-14.837454,0,EPI_ISL_1863976,Alpha,B.1.1.7,2021-04-19
-7.8080025,-13.226283,0,EPI_ISL_2365898,Alpha,B.1.1.7,2021-04-08
-0.17417401,-14.834756,0,EPI_ISL_1245660,Alpha,B.1.1.7,2021-03-03
-0.16473351,-14.862022,0,EPI_ISL_1449831,Alpha,B.1.1.7,2021-03-02
-0.15325147,-14.837056,0,EPI_ISL_1300190,Alpha,B.1.1.7,2021-03-09
5.8836384,-7.9469457,0,EPI_ISL_1854436,Alpha,B.1.1.7,2021-04-15
-0.1288307,-14.866561,0,EPI_ISL_2669917,Alpha,B.1.1.7,2021-05-24
-0.19217436,-14.831305,0,EPI_ISL_2178437,Alpha,B.1.1.7,2021-04-13
-0.17058562,-14.835126,0,EPI_ISL_2557914,Alpha,B.1.1.7,2021-05-26
-0.16933633,-14.827466,0,EPI_ISL_3144401,Alpha,B.1.1.7,2021-03-10
-0.17954813,-14.844124,0,EPI_ISL_2647665,Alpha,B.1.1.7,2021-05-26
-0.15316078,-14.8337,0,EPI_ISL_1531043,Alpha,B.1.1.7,2021-03-15
-0.1389555,-14.868422,0,EPI_ISL_2805379,Alpha,B.1.1.7,2021-06-27
-0.1570175,-14.835175,0,EPI_ISL_2343646,Alpha,B.1.1.7,2021-03-20
-0.15397902,-14.850599,0,EPI_ISL_1580900,Alpha,B.1.1.7,2021-03-29
-0.19278617,-14.818592,0,EPI_ISL_1489717,Alpha,B.1.1.7,2021-03-22
-0.17869204,-14.839729,0,EPI_ISL_2098053,Alpha,B.1.1.7,2021-04-24
-0.16820234,-14.823793,0,EPI_ISL_1595360,Alpha,B.1.1.7,2021-03-30
0.37219888,-22.610922,0,EPI_ISL_1727852,Alpha,B.1.1.7,2021-04-16
0.36290973,0.78203046,0,EPI_ISL_2185488,Alpha,B.1.1.7,2021-05-09
-0.17069776,-14.838904,0,EPI_ISL_1522002,Alpha,B.1.1.7,2021-03-26
-0.17357284,-14.822826,0,EPI_ISL_1329593,Alpha,B.1.1.7,2021-03-12
-0.16778715,-14.853051,0,EPI_ISL_2192097,Alpha,B.1.1.7,2021-04-19
-0.17084818,-14.853545,0,EPI_ISL_4149401,Alpha,B.1.1.7,2021-08-17
5.4660954,-20.444288,0,EPI_ISL_1345834,Alpha,B.1.1.7,2021-03-14
-0.15272331,-14.849422,0,EPI_ISL_2302771,Alpha,B.1.1.7,2021-05-04
-0.1949623,-14.831986,0,EPI_ISL_2107516,Alpha,B.1.1.7,2021-04-09
-0.18608107,-14.836158,0,EPI_ISL_2214895,Alpha,B.1.1.7,2021-05-08
-0.1735115,-14.826617,0,EPI_ISL_2370444,Alpha,B.1.1.7,2021-05-03
-0.1545956,-14.844433,0,EPI_ISL_2159888,Alpha,B.1.1.7,2021-04-30
-0.16499916,-14.842868,0,EPI_ISL_1742932,Alpha,B.1.1.7,2021-03
-0.17810209,-14.826004,0,EPI_ISL_1521174,Alpha,B.1.1.7,2021-03-22
-0.18734308,-14.821204,0,EPI_ISL_2134665,Alpha,B.1.1.7,2021-04-17
-0.1529167,-14.842302,0,EPI_ISL_2129967,Alpha,B.1.1.7,2021-05-03
-7.216458,-14.773672,0,EPI_ISL_2698198,Alpha,B.1.1.7,2021-05-05
-0.18944362,-14.844279,0,EPI_ISL_1788533,Alpha,Q.1,2021-04-13
-0.1558415,-14.853157,0,EPI_ISL_2532463,Alpha,Q.4,2021-05-25
-0.16533329,-14.84643,0,EPI_ISL_1051768,Alpha,B.1.1.7,2021-02-02
