t-SNE component 1,t-SNE component 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
-20.401066,0.35892516,0,EPI_ISL_2532772,Alpha,B.1.1.7,2021-02-03
-20.410263,0.35942873,0,EPI_ISL_4381354,Alpha,B.1.1.7,2021-04-30
-20.402075,0.36321068,0,EPI_ISL_920856,Alpha,B.1.1.7,2021-01-05
-20.415329,0.37311077,0,EPI_ISL_2765113,Alpha,B.1.1.7,2021-05-04
-20.3847,0.36374804,0,EPI_ISL_1191671,Alpha,B.1.1.7,2021-02-05
-19.78461,-5.471955,0,EPI_ISL_1851145,Alpha,B.1.1.7,2021-04-14
-20.389606,0.35978076,0,EPI_ISL_2300007,Alpha,B.1.1.7,2021-05-10
-21.022036,-8.499333,0,EPI_ISL_2453073,Alpha,B.1.1.7,2021-05
-20.418417,0.36859766,0,EPI_ISL_2181743,Alpha,B.1.1.7,2021-05-04
-20.412216,0.37127095,0,EPI_ISL_1760299,Alpha,B.1.1.7,2021-03-02
-20.415554,0.36264673,0,EPI_ISL_1380652,Alpha,B.1.1.7,2021-03-01
-25.552135,-3.567279,0,EPI_ISL_1177700,Alpha,B.1.1.7,2021-02-21
-20.412819,0.3708241,0,EPI_ISL_2022880,Alpha,B.1.1.7,2021-05-03
-20.39379,0.36272827,0,EPI_ISL_7686848,Alpha,B.1.1.7,2021-04-16
-20.409718,0.356792,0,EPI_ISL_2612592,Alpha,B.1.1.7,2021-06-08
-20.392262,0.36229265,0,EPI_ISL_1411389,Alpha,B.1.1.7,2021-03-19
-20.370018,0.3438919,0,EPI_ISL_1288098,Alpha,B.1.1.7,2021-03-01
-20.400839,0.35954615,0,EPI_ISL_2670527,Alpha,B.1.1.7,2021-05-24
-21.02162,-8.499481,0,EPI_ISL_12013701,Alpha,B.1.1.7,2021-07-15
-20.400143,0.3643684,0,EPI_ISL_1603200,Alpha,B.1.1.7,2021-02-08
-20.375265,0.35214636,0,EPI_ISL_1356268,Alpha,B.1.1.7,2021-03-09
-20.392677,0.35468292,0,EPI_ISL_1332088,Alpha,B.1.1.7,2021-03-11
-25.676527,-7.121199,0,EPI_ISL_2884613,Alpha,B.1.1.7,2021-06-10
-20.395962,0.34506208,0,EPI_ISL_4096610,Alpha,B.1.1.7,2021-05-07
-20.398977,0.36691988,0,EPI_ISL_1572447,Alpha,B.1.1.7,2021-03-25
-20.369003,0.34728193,0,EPI_ISL_2748390,Alpha,B.1.1.7,2021-06-23
-20.417952,0.36300305,0,EPI_ISL_1186534,Alpha,B.1.1.7,2021-02-26
-20.373293,0.3624327,0,EPI_ISL_2565716,Alpha,B.1.1.7,2021-03-15
-20.415438,0.3713218,0,EPI_ISL_1986145,Alpha,B.1.1.7,2021-04-30
-20.372288,0.34176144,0,EPI_ISL_1207630,Alpha,B.1.1.7,2021-02-26
-20.416502,0.37589726,0,EPI_ISL_1594404,Alpha,B.1.1.7,2021-03-30
-20.412142,0.36917752,0,EPI_ISL_2470863,Alpha,B.1.1.7,2021-05-25
-20.414637,0.37363467,0,EPI_ISL_1675558,Alpha,B.1.1.7,2021-03-29
-18.054348,-11.127651,0,EPI_ISL_5333855,Alpha,B.1.1.7,2021-06-03
-21.021732,-8.499335,0,EPI_ISL_2757584,Alpha,B.1.1.7,2021-05-28
-20.369156,0.35107186,0,EPI_ISL_1264901,Alpha,B.1.1.7,2021-03-03
-20.40198,0.3657035,0,EPI_ISL_2291481,Alpha,B.1.1.7,2021-04-19
-20.395855,0.3585133,0,EPI_ISL_1719345,Alpha,B.1.1.7,2021-04-15
-20.417196,0.36151892,0,EPI_ISL_1627771,Alpha,B.1.1.7,2021-03-24
-20.416721,0.37170354,0,EPI_ISL_1564700,Alpha,B.1.1.7,2021-04-05
-20.412857,0.36773863,0,EPI_ISL_1729215,Alpha,B.1.1.7,2021-04-14
-20.381283,0.3517278,0,EPI_ISL_1520928,Alpha,B.1.1.7,2021-03-25
-20.409775,0.37884644,0,EPI_ISL_2098741,Alpha,B.1.1.7,2021-04-27
-20.375015,0.34575135,0,EPI_ISL_2756502,Alpha,B.1.1.7,2021-05-07
-20.409035,0.36262813,0,EPI_ISL_2658504,Alpha,B.1.1.7,2021-04-21
-20.373175,0.34955072,0,EPI_ISL_2152174,Alpha,B.1.1.7,2021-05-03
-20.417076,0.376781,0,EPI_ISL_1404219,Alpha,B.1.1.7,2021-03-04
-20.407862,0.35773402,0,EPI_ISL_1508573,Alpha,B.1.1.7,2021-03-22
-20.386871,0.3447331,0,EPI_ISL_2248500,Alpha,B.1.1.7,2021-05-04
-20.386232,0.35984376,0,EPI_ISL_2084371,Alpha,B.1.1.7,2021-03-14
-26.555788,0.97543716,0,EPI_ISL_2987348,Alpha,B.1.1.7,2021-05-20
-24.806044,-5.2085195,0,EPI_ISL_2308921,Alpha,B.1.1.7,2021-03-15
-20.401718,0.36341736,0,EPI_ISL_15630214,Alpha,B.1.1.7,2021-03-15
-18.517921,-11.904324,0,EPI_ISL_3032626,Alpha,B.1.1.7,2021-06-22
-20.416351,0.3663306,0,EPI_ISL_1660701,Alpha,B.1.1.7,2021-03-30
-20.412275,0.36524832,0,EPI_ISL_2810755,Alpha,B.1.1.7,2021-06-24
-20.379625,0.35378525,0,EPI_ISL_2111182,Alpha,B.1.1.7,2021-04-27
-20.41368,0.36757466,0,EPI_ISL_1736380,Alpha,B.1.1.7,2021-04-03
-20.404438,0.36297017,0,EPI_ISL_1900302,Alpha,B.1.1.7,2021-04-08
-20.398273,0.35708937,0,EPI_ISL_1189457,Alpha,B.1.1.7,2021-02-27
-20.390717,0.3532132,0,EPI_ISL_1899377,Alpha,B.1.1.7,2021-04-07
-20.385406,0.35398057,0,EPI_ISL_2720740,Alpha,B.1.1.7,2021-05-03
-20.385363,0.35492912,0,EPI_ISL_3066940,Alpha,B.1.1.7,2021-06-02
-20.400131,0.36638752,0,EPI_ISL_15741964,Alpha,B.1.1.7,2021-05-24
-20.411081,0.36945373,0,EPI_ISL_2681424,Alpha,B.1.1.7,2021-04-14
-20.367111,0.34832913,0,EPI_ISL_2081407,Alpha,B.1.1.7,2021-04-28
-23.470577,-4.86542,0,EPI_ISL_3067420,Alpha,B.1.1.7,2021-07-06
-20.390457,0.36046302,0,EPI_ISL_2031384,Alpha,B.1.1.7,2021-04-22
-28.419994,-4.4551115,0,EPI_ISL_3076191,Alpha,B.1.1.7,2021-07-02
-20.39639,0.3694816,0,EPI_ISL_1864240,Alpha,B.1.1.7,2021-03-29
-20.413332,0.37395796,0,EPI_ISL_2383606,Alpha,B.1.1.7,2021-05-05
-20.419067,0.3637946,0,EPI_ISL_6343020,Alpha,B.1.1.7,2021-05-11
-20.387226,0.34733224,0,EPI_ISL_2328253,Alpha,B.1.1.7,2021-04-05
-20.363167,0.34668207,0,EPI_ISL_1662424,Alpha,B.1,2021-03-25
-20.37843,0.35083666,0,EPI_ISL_1900085,Alpha,B.1.1.7,2021-03-28
-20.411987,0.3631946,0,EPI_ISL_3418969,Alpha,B.1.1.7,2021-04-27
-20.389997,0.3519092,0,EPI_ISL_2428449,Alpha,B.1.1.7,2021-05-12
-20.391426,0.35529336,0,EPI_ISL_2183753,Alpha,B.1.1.7,2021-05-03
-20.41552,0.37069654,0,EPI_ISL_12916291,Alpha,B.1.1.7,2021-05-07
-18.379883,-11.978506,0,EPI_ISL_1684472,Alpha,B.1.1.7,2021-04-04
-20.397902,0.3653253,0,EPI_ISL_2305967,Alpha,B.1.1.7,2021-05-09
-20.409908,0.363923,0,EPI_ISL_1528161,Alpha,B.1.1.7,2021-03-18
-20.395332,0.3561236,0,EPI_ISL_2140336,Alpha,B.1.1.7,2021-04-30
-20.407013,0.3565,0,EPI_ISL_2213534,Alpha,B.1.1.7,2021-05-11
-20.40231,0.3630521,0,EPI_ISL_1585190,Alpha,B.1.1.7,2021-03-09
-20.38933,0.34614894,0,EPI_ISL_3874967,Alpha,B.1.1.7,2021-07-16
-20.399467,0.36688608,0,EPI_ISL_2150344,Alpha,B.1.1.7,2021-04-20
-20.4107,0.37111124,0,EPI_ISL_1047392,Alpha,B.1.1.7,2021-01-27
-20.395908,0.34741405,0,EPI_ISL_1413425,Alpha,B.1.1.7,2021-03-20
-20.397003,0.35994962,0,EPI_ISL_3014757,Alpha,B.1.1.7,2021-04-09
-20.417841,0.36328152,0,EPI_ISL_1646055,Alpha,B.1.1.7,2021-03-25
-20.413956,0.36615318,0,EPI_ISL_2278108,Alpha,B.1.1.7,2021-02-24
-20.406704,0.36010063,0,EPI_ISL_2933239,Alpha,B.1.1.7,2021-06-29
-19.119114,-6.8220882,0,EPI_ISL_1729796,Alpha,B.1.1.7,2021-03-30
-20.416904,0.3774261,0,EPI_ISL_2491050,Alpha,B.1.1.7,2021-05-26
-20.385893,0.35445762,0,EPI_ISL_1754000,Alpha,B.1.1.7,2021-03
-20.396694,0.35422722,0,EPI_ISL_2269416,Alpha,B.1.1.7,2021-05-10
-25.72838,-7.2837086,0,EPI_ISL_2673067,Alpha,B.1.1.7,2021-06-12
-20.37361,0.34578016,0,EPI_ISL_1250862,Alpha,B.1.1.7,2021-03-02
-20.374062,0.3583285,0,EPI_ISL_1452975,Alpha,B.1.1.7,2021-03-22
-20.39278,0.36609656,0,EPI_ISL_2084185,Alpha,B.1.1.7,2021-03-03
-20.373867,0.3589143,0,EPI_ISL_3142868,Alpha,B.1.1.7,2021-04-29
-20.39403,0.35623544,0,EPI_ISL_1962704,Alpha,B.1.1.7,2021-04-21
-25.728367,-7.2837443,0,EPI_ISL_1866327,Alpha,B.1.1.7,2021-04-12
-20.39411,0.3651659,0,EPI_ISL_3220465,Alpha,B.1.1.7,2021-07-01
