UMAP 1,UMAP 2,Cluster,Seq ID,Variant,Pango lineage,Collection date
13.798981,-17.305206,1,EPI_ISL_2532772,Alpha,B.1.1.7,2021-02-03
13.908325,-16.72754,1,EPI_ISL_4381354,Alpha,B.1.1.7,2021-04-30
14.345917,-17.102402,1,EPI_ISL_920856,Alpha,B.1.1.7,2021-01-05
13.564636,-16.836563,1,EPI_ISL_2765113,Alpha,B.1.1.7,2021-05-04
13.846039,-16.977386,1,EPI_ISL_1191671,Alpha,B.1.1.7,2021-02-05
11.303371,-3.870706,1,EPI_ISL_1851145,Alpha,B.1.1.7,2021-04-14
13.642761,-17.328598,1,EPI_ISL_2300007,Alpha,B.1.1.7,2021-05-10
15.524803,-10.042339,1,EPI_ISL_2453073,Alpha,B.1.1.7,2021-05
13.494354,-17.047455,1,EPI_ISL_2181743,Alpha,B.1.1.7,2021-05-04
14.111481,-17.289978,1,EPI_ISL_1760299,Alpha,B.1.1.7,2021-03-02
13.752441,-17.485107,1,EPI_ISL_1380652,Alpha,B.1.1.7,2021-03-01
5.2409625,-6.4438286,1,EPI_ISL_1177700,Alpha,B.1.1.7,2021-02-21
13.814484,-17.282028,1,EPI_ISL_2022880,Alpha,B.1.1.7,2021-05-03
13.697571,-16.78189,1,EPI_ISL_7686848,Alpha,B.1.1.7,2021-04-16
13.830292,-17.336731,1,EPI_ISL_2612592,Alpha,B.1.1.7,2021-06-08
14.346069,-16.83664,1,EPI_ISL_1411389,Alpha,B.1.1.7,2021-03-19
13.689728,-16.852386,1,EPI_ISL_1288098,Alpha,B.1.1.7,2021-03-01
13.033264,-17.539825,1,EPI_ISL_2670527,Alpha,B.1.1.7,2021-05-24
15.649681,-9.628305,1,EPI_ISL_12013701,Alpha,B.1.1.7,2021-07-15
13.439819,-17.27414,1,EPI_ISL_1603200,Alpha,B.1.1.7,2021-02-08
13.681915,-17.29776,1,EPI_ISL_1356268,Alpha,B.1.1.7,2021-03-09
13.142792,-17.03186,1,EPI_ISL_1332088,Alpha,B.1.1.7,2021-03-11
14.003122,-6.6816397,1,EPI_ISL_2884613,Alpha,B.1.1.7,2021-06-10
13.572662,-17.055359,1,EPI_ISL_4096610,Alpha,B.1.1.7,2021-05-07
14.182068,-17.883621,1,EPI_ISL_1572447,Alpha,B.1.1.7,2021-03-25
13.611389,-17.453812,1,EPI_ISL_2748390,Alpha,B.1.1.7,2021-06-23
13.486603,-17.336746,1,EPI_ISL_1186534,Alpha,B.1.1.7,2021-02-26
14.111694,-16.875595,1,EPI_ISL_2565716,Alpha,B.1.1.7,2021-03-15
14.095856,-16.953735,1,EPI_ISL_1986145,Alpha,B.1.1.7,2021-04-30
13.228577,-17.282013,1,EPI_ISL_1207630,Alpha,B.1.1.7,2021-02-26
13.517853,-17.133728,1,EPI_ISL_1594404,Alpha,B.1.1.7,2021-03-30
13.783173,-17.344322,1,EPI_ISL_2470863,Alpha,B.1.1.7,2021-05-25
14.541386,-16.422531,1,EPI_ISL_1675558,Alpha,B.1.1.7,2021-03-29
8.331018,-5.946881,1,EPI_ISL_5333855,Alpha,B.1.1.7,2021-06-03
15.524788,-9.463938,1,EPI_ISL_2757584,Alpha,B.1.1.7,2021-05-28
13.423973,-15.977325,1,EPI_ISL_1264901,Alpha,B.1.1.7,2021-03-03
14.337971,-15.649073,1,EPI_ISL_2291481,Alpha,B.1.1.7,2021-04-19
14.5725155,-16.29763,1,EPI_ISL_1719345,Alpha,B.1.1.7,2021-04-15
15.549067,-16.383583,1,EPI_ISL_1627771,Alpha,B.1.1.7,2021-03-24
14.189777,-15.477425,1,EPI_ISL_1564700,Alpha,B.1.1.7,2021-04-05
15.174099,-16.414892,1,EPI_ISL_1729215,Alpha,B.1.1.7,2021-04-14
14.70536,-18.000656,1,EPI_ISL_1520928,Alpha,B.1.1.7,2021-03-25
14.541246,-15.78994,1,EPI_ISL_2098741,Alpha,B.1.1.7,2021-04-27
15.009821,-17.617785,1,EPI_ISL_2756502,Alpha,B.1.1.7,2021-05-07
13.033497,-17.852196,1,EPI_ISL_2658504,Alpha,B.1.1.7,2021-04-21
15.275566,-17.602264,1,EPI_ISL_2152174,Alpha,B.1.1.7,2021-05-03
15.306959,-15.9616165,1,EPI_ISL_1404219,Alpha,B.1.1.7,2021-03-04
13.314575,-16.680695,1,EPI_ISL_1508573,Alpha,B.1.1.7,2021-03-22
14.658352,-15.485168,1,EPI_ISL_2248500,Alpha,B.1.1.7,2021-05-04
13.64304,-16.407076,1,EPI_ISL_2084371,Alpha,B.1.1.7,2021-03-14
4.369461,-11.312777,1,EPI_ISL_2987348,Alpha,B.1.1.7,2021-05-20
6.0616226,-4.4602685,1,EPI_ISL_2308921,Alpha,B.1.1.7,2021-03-15
13.267658,-16.664894,1,EPI_ISL_15630214,Alpha,B.1.1.7,2021-03-15
-0.11737919,-8.575167,1,EPI_ISL_3032626,Alpha,B.1.1.7,2021-06-22
14.588139,-18.211708,1,EPI_ISL_1660701,Alpha,B.1.1.7,2021-03-30
13.666414,-16.08662,1,EPI_ISL_2810755,Alpha,B.1.1.7,2021-06-24
13.361591,-15.953796,1,EPI_ISL_2111182,Alpha,B.1.1.7,2021-04-27
13.392818,-15.860132,1,EPI_ISL_1736380,Alpha,B.1.1.7,2021-04-03
12.611471,-17.328735,1,EPI_ISL_1900302,Alpha,B.1.1.7,2021-04-08
15.4474945,-15.805321,1,EPI_ISL_1189457,Alpha,B.1.1.7,2021-02-27
13.345808,-17.81315,1,EPI_ISL_1899377,Alpha,B.1.1.7,2021-04-07
14.986628,-15.63352,1,EPI_ISL_2720740,Alpha,B.1.1.7,2021-05-03
15.4554825,-17.391262,1,EPI_ISL_3066940,Alpha,B.1.1.7,2021-06-02
14.744411,-15.485012,1,EPI_ISL_15741964,Alpha,B.1.1.7,2021-05-24
14.510048,-18.024242,1,EPI_ISL_2681424,Alpha,B.1.1.7,2021-04-14
14.088188,-18.117939,1,EPI_ISL_2081407,Alpha,B.1.1.7,2021-04-28
4.215189,-4.107876,1,EPI_ISL_3067420,Alpha,B.1.1.7,2021-07-06
13.017998,-17.25836,1,EPI_ISL_2031384,Alpha,B.1.1.7,2021-04-22
3.3317008,-7.46694,1,EPI_ISL_3076191,Alpha,B.1.1.7,2021-07-02
12.799032,-17.58666,1,EPI_ISL_1864240,Alpha,B.1.1.7,2021-03-29
14.2288475,-16.203934,1,EPI_ISL_2383606,Alpha,B.1.1.7,2021-05-05
14.7835045,-16.368101,1,EPI_ISL_6343020,Alpha,B.1.1.7,2021-05-11
13.978916,-16.656872,1,EPI_ISL_2328253,Alpha,B.1.1.7,2021-04-05
15.74435,-17.078865,1,EPI_ISL_1662424,Alpha,B.1,2021-03-25
14.900681,-17.58659,1,EPI_ISL_1900085,Alpha,B.1.1.7,2021-03-28
15.3146515,-15.586708,1,EPI_ISL_3418969,Alpha,B.1.1.7,2021-04-27
13.549091,-16.860142,1,EPI_ISL_2428449,Alpha,B.1.1.7,2021-05-12
13.00222,-16.09444,1,EPI_ISL_2183753,Alpha,B.1.1.7,2021-05-03
14.853733,-16.422615,1,EPI_ISL_12916291,Alpha,B.1.1.7,2021-05-07
14.502251,-16.570948,1,EPI_ISL_2305967,Alpha,B.1.1.7,2021-05-09
14.455191,-15.688269,1,EPI_ISL_1528161,Alpha,B.1.1.7,2021-03-18
13.68976,-15.367828,1,EPI_ISL_2140336,Alpha,B.1.1.7,2021-04-30
15.728695,-15.930418,1,EPI_ISL_2213534,Alpha,B.1.1.7,2021-05-11
14.611525,-18.438194,1,EPI_ISL_1585190,Alpha,B.1.1.7,2021-03-09
15.728722,-16.41482,1,EPI_ISL_3874967,Alpha,B.1.1.7,2021-07-16
15.002119,-16.95377,1,EPI_ISL_2150344,Alpha,B.1.1.7,2021-04-20
14.056768,-17.422644,1,EPI_ISL_1047392,Alpha,B.1.1.7,2021-01-27
12.9632225,-16.735071,1,EPI_ISL_1413425,Alpha,B.1.1.7,2021-03-20
12.760134,-17.250813,1,EPI_ISL_3014757,Alpha,B.1.1.7,2021-04-09
15.14296,-17.852316,1,EPI_ISL_1646055,Alpha,B.1.1.7,2021-03-25
15.47086,-15.641317,1,EPI_ISL_2278108,Alpha,B.1.1.7,2021-02-24
12.728531,-16.01623,1,EPI_ISL_2933239,Alpha,B.1.1.7,2021-06-29
3.7453432,-0.91438246,1,EPI_ISL_1729796,Alpha,B.1.1.7,2021-03-30
14.798996,-17.82108,1,EPI_ISL_2491050,Alpha,B.1.1.7,2021-05-26
13.806932,-15.547493,1,EPI_ISL_1754000,Alpha,B.1.1.7,2021-03
13.18195,-18.164822,1,EPI_ISL_2269416,Alpha,B.1.1.7,2021-05-10
14.0186405,-6.697302,1,EPI_ISL_2673067,Alpha,B.1.1.7,2021-06-12
13.447462,-17.25066,1,EPI_ISL_1250862,Alpha,B.1.1.7,2021-03-02
13.549141,-16.219528,1,EPI_ISL_1452975,Alpha,B.1.1.7,2021-03-22
14.9709,-17.867826,1,EPI_ISL_2084185,Alpha,B.1.1.7,2021-03-03
12.838221,-17.086758,1,EPI_ISL_3142868,Alpha,B.1.1.7,2021-04-29
14.939871,-16.57104,1,EPI_ISL_1962704,Alpha,B.1.1.7,2021-04-21
14.018642,-6.9317436,1,EPI_ISL_1866327,Alpha,B.1.1.7,2021-04-12
13.572489,-15.438084,1,EPI_ISL_3220465,Alpha,B.1.1.7,2021-07-01
14.213291,-16.250824,1,EPI_ISL_5543223,Alpha,B.1.1.7,2021-07-19
15.275768,-16.282,1,EPI_ISL_1206871,Alpha,B.1.1.7,2021-02-25
13.51778,-17.446012,1,EPI_ISL_1662260,Alpha,B.1.1.7,2021-01-22
14.877144,-17.01635,1,EPI_ISL_1868963,Alpha,B.1.1.7,2021-03-08
14.728626,-17.53202,1,EPI_ISL_2737491,Alpha,B.1.1.7,2021-01-18
15.681923,-16.625652,1,EPI_ISL_2113607,Alpha,B.1.1.7,2021-04-29
14.369352,-18.23497,1,EPI_ISL_1915426,Alpha,B.1.1.7,2021-04-17
15.369459,-16.74287,1,EPI_ISL_2197688,Alpha,B.1.1.7,2021-03-16
15.0255165,-18.03968,1,EPI_ISL_1402519,Alpha,B.1.1.7,2021-02-24
13.127087,-15.821087,1,EPI_ISL_881316,Alpha,B.1.1.7,2021-01-13
15.025734,-17.735115,1,EPI_ISL_3117820,Alpha,B.1.1.7,2021-06-29
5.300805,-1.0413914,1,EPI_ISL_2411348,Alpha,B.1.1.7,2021-03-02
12.939585,-17.727383,1,EPI_ISL_939187,Alpha,B.1.1.7,2021-01-24
14.939726,-18.336863,1,EPI_ISL_2455988,Alpha,B.1.1.7,2021-05-19
13.080221,-16.922487,1,EPI_ISL_2474816,Alpha,B.1.1.7,2021-05-17
13.049013,-18.157017,1,EPI_ISL_2535543,Alpha,B.1.1.7,2021-05-25
13.166248,-16.328852,1,EPI_ISL_1577732,Alpha,B.1.1.7,2021-04-02
15.650711,-16.680536,1,EPI_ISL_1502391,Alpha,B.1.1.7,2021-03-18
6.390812,-5.3878574,1,EPI_ISL_1440052,Alpha,B.1.1.7,2021-03-15
7.100851,-2.1599293,1,EPI_ISL_1190433,Alpha,B.1.1.7,2021-02-23
13.830339,-16.46164,1,EPI_ISL_15630278,Alpha,B.1.1.7,2021-03-15
5.0669813,-7.3996773,1,EPI_ISL_2564995,Alpha,B.1.1.7,2021-04-18
14.322277,-15.477421,1,EPI_ISL_1757337,Alpha,B.1.1.7,2021-04-12
6.6981773,-6.812969,1,EPI_ISL_1849300,Alpha,B.1.1.7,2021-04-23
14.455595,-16.094513,1,EPI_ISL_3781569,Alpha,B.1.1.7,2021-04-12
13.338276,-16.125696,1,EPI_ISL_1798134,Alpha,B.1.1.7,2021-04-10
14.283213,-17.125698,1,EPI_ISL_2699131,Alpha,B.1.1.7,2021-04-13
7.23697,-4.6604586,1,EPI_ISL_2256066,Alpha,B.1.1.7,2021-03-29
13.736652,-18.305477,1,EPI_ISL_2776776,Alpha,B.1.1.7,2021-06-03
12.939583,-16.59439,1,EPI_ISL_1257147,Alpha,B.1.1.7,2021-02-16
6.055331,1.5461655,1,EPI_ISL_4698506,Alpha,B.1.1.7,2021-07-17
14.345934,-16.985106,1,EPI_ISL_1307363,Alpha,B.1.1.7,2021-03-10
13.424091,-16.711647,1,EPI_ISL_2360055,Alpha,B.1.1.7,2021-04-30
7.7145023,-6.8731728,1,EPI_ISL_1006640,Alpha,B.1.1.7,2021-02-05
3.829235,-6.022915,1,EPI_ISL_2762027,Alpha,B.1.1.7,2021-06-17
14.0332775,-16.399096,1,EPI_ISL_2738665,Alpha,B.1.1.7,2021
14.627262,-16.907192,1,EPI_ISL_3044042,Alpha,B.1.1.7,2021-07-10
15.408388,-17.266499,1,EPI_ISL_2033105,Alpha,B.1.1.7,2021-04-22
15.517681,-17.60999,1,EPI_ISL_3032832,Alpha,Q.4,2021-06-16
15.650551,-16.985151,1,EPI_ISL_1502430,Alpha,Q.4,2021-03-19
-0.14138794,-0.2370596,1,EPI_ISL_1402343,Alpha,B.1.1.7,2021-02-06
14.80682,-15.6024685,1,EPI_ISL_2631402,Alpha,B.1.1.7,2021-06-06
14.814648,-17.805523,1,EPI_ISL_3076229,Alpha,B.1.1.7,2021-07-02
13.580431,-17.399296,1,EPI_ISL_2134693,Alpha,B.1.1.7,2021-05-05
13.346067,-17.125744,1,EPI_ISL_1393699,Alpha,B.1.1.7,2021-02-26
12.814659,-16.321136,1,EPI_ISL_1196837,Alpha,B.1.1.7,2021-02-16
14.259884,-18.12594,1,EPI_ISL_1255816,Alpha,B.1.1.7,2021-03-05
14.720886,-15.8675785,1,EPI_ISL_1596786,Alpha,B.1.1.7,2021-03-11
13.361523,-17.83663,1,EPI_ISL_2465164,Alpha,B.1.1.7,2021-05-25
14.635099,-15.445944,1,EPI_ISL_3196731,Alpha,B.1.1.7,2021-06-20
13.275505,-16.39124,1,EPI_ISL_2776888,Alpha,B.1.1.7,2021-06-03
14.486404,-15.680391,1,EPI_ISL_1414927,Alpha,B.1.1.7,2021-03-11
15.205343,-17.625542,1,EPI_ISL_1627625,Alpha,B.1.1.7,2021-03-16
7.288637,-7.019079,1,EPI_ISL_2602676,Alpha,B.1.1.7,2021-05-10
14.53343,-17.758533,1,EPI_ISL_1637572,Alpha,B.1.1.7,2021-04-07
14.767918,-15.352371,1,EPI_ISL_1643147,Alpha,B.1.1.7,2021-03-31
13.799158,-18.149172,1,EPI_ISL_1843642,Alpha,B.1.1.7,2021-04-09
15.267862,-16.703869,1,EPI_ISL_4690662,Alpha,B.1.1.7,2021-07-13
10.955555,-1.670517,1,EPI_ISL_2441001,Alpha,B.1.1.7,2021-05-13
15.353699,-15.938156,1,EPI_ISL_2400058,Alpha,B.1.1.7,2021-05-21
4.8262415,-4.2189665,1,EPI_ISL_2475254,Alpha,B.1.1.7,2021-05-09
15.142672,-15.922676,1,EPI_ISL_2887249,Alpha,B.1.1.7,2021-06-12
15.697424,-16.399118,1,EPI_ISL_1633741,Alpha,B.1.1.7,2021-04-13
14.088039,-15.430489,1,EPI_ISL_2031135,Alpha,B.1.1.7,2021-03-09
12.547367,-7.577853,1,EPI_ISL_2132662,Alpha,B.1.1.7,2021-05-07
14.799179,-15.703901,1,EPI_ISL_986029,Alpha,B.1.1.7,2021-02-01
14.322548,-16.75859,1,EPI_ISL_2215890,Alpha,B.1.1.7,2021-04-21
