Cluster,Variant,Pango lineage,Cluster count,Cluster %,Lineage %
-1,Omicron,CH.1.1*,2607,21.321665167252803,99.23867529501332
-1,Omicron,BA.1.1*,1099,8.988304571849186,8.45905172413793
-1,Omicron,BA.2,1092,8.931054224257789,7.8375080743558465
-1,Omicron,Unassigned,873,7.139936206755541,13.532785614633392
-1,Omicron,BA.5.2*,704,5.75774924347755,4.4201670119922145
-1,Omicron,BR.2.1*,348,2.846160137400834,99.7134670487106
-1,Omicron,BA.2.3*,315,2.576265641612824,12.696493349455865
-1,Omicron,B.1.1*,304,2.4863008096834873,34.04255319148936
-1,Omicron,BF.14,276,2.2572994193179032,82.38805970149254
-1,Omicron,BA.1,262,2.142798724135111,4.899027673896784
-1,Omicron,BA.2.24*,255,2.085548376543715,98.07692307692307
-1,Omicron,BA.2.56*,233,1.9056187126850415,80.90277777777779
-1,Omicron,BA.2.13*,220,1.7992966385867344,85.60311284046692
-1,Omicron,BA.2.9*,203,1.6602600801504865,9.111310592459605
-1,Omicron,BA.5.5*,176,1.4394373108693874,8.282352941176471
-1,Omicron,CM.8.1*,145,1.1859000572503477,96.02649006622516
-1,Omicron,CM.2,136,1.1122924674899812,80.95238095238095
-1,Omicron,BQ.1.1*,128,1.0468634988141,1.1820112660448796
-1,Omicron,BA.5.1*,126,1.0305062566451295,1.6505108724128896
0,Omicron,XBB.1.5*,8124,35.23441904844516,99.52223447262037
0,Omicron,BN.1.3*,1371,5.9461334952509,98.98916967509025
0,Omicron,BA.2.75*,1187,5.14811120267164,93.75987361769353
0,Omicron,XBB.1,1177,5.104740425901028,99.32489451476793
0,Omicron,XBB.1.9*,1082,4.6927180465802145,99.17506874427131
0,Omicron,Unassigned,865,3.7515721906579347,13.408773833514184
0,Omicron,BN.1.2*,767,3.3265385783059376,99.61038961038962
0,Omicron,XBB.1.16*,713,3.092336383744633,99.58100558659217
0,Omicron,XBB,584,2.5328533634037385,81.90743338008414
0,Omicron,XBF,461,1.9993928091252116,99.78354978354979
0,Omicron,XBB.2.3*,446,1.9343366439692935,99.77628635346755
0,Omicron,XBB.2.6*,418,1.81289846901158,98.58490566037736
0,Omicron,BM.1.1*,385,1.6697749056685605,88.91454965357968
0,Omicron,EG.1,342,1.483280565554929,99.70845481049562
0,Omicron,BN.1,278,1.2057075942230127,98.93238434163702
0,Omicron,XBB.2,275,1.1926963611918289,100.0
0,Omicron,BN.1.4*,249,1.0799323415882378,98.80952380952381
1,Omicron,BA.2.12*,4245,80.48919226393629,79.50927139913841
1,Omicron,BA.2,228,4.323094425483505,1.636402784755616
1,Omicron,BA.5.2*,153,2.901023890784983,0.9606328875494443
