Cluster,SeqID,Variant,Host
-1,MN996532,Bat Virus,Bat
2,MG772934,Bat Virus,Bat
2,MG772933,Bat Virus,Bat
2,KT444582,Bat Virus,Bat
2,KY417146,Bat Virus,Bat
2,KF367457,Bat Virus,Bat
2,KY417151,Bat Virus,Bat
2,KY417144,Bat Virus,Bat
2,KC881005,Bat Virus,Bat
2,KF569996,Bat Virus,Bat
2,KY417142,Bat Virus,Bat
2,KY417147,Bat Virus,Bat
2,KY417148,Bat Virus,Bat
2,KY417143,Bat Virus,Bat
2,DQ648857,Bat Virus,Bat
2,DQ071615,Bat Virus,Bat
2,GQ153543,Bat Virus,Bat
2,GQ153548,Bat Virus,Bat
2,DQ022305,Bat Virus,Bat
2,KF294457,Bat Virus,Bat
2,KJ473815,Bat Virus,Bat
2,JX993988,Bat Virus,Bat
2,JX993987,Bat Virus,Bat
2,KJ473814,Bat Virus,Bat
2,KJ473816,Bat Virus,Bat
2,KJ473811,Bat Virus,Bat
2,DQ412042,Bat Virus,Bat
2,DQ648856,Bat Virus,Bat
2,KJ473812,Bat Virus,Bat
2,KY417145,Bat Virus,Bat
2,EPI_ISL_412977,Bat Virus,Bat
2,NC014470,Bat Virus,Bat
2,KY352407,Bat Virus,Bat
1,AY304486,SARS-CoV-1,Civet
1,AY304487,SARS-CoV-1,Civet
1,AY304489,SARS-CoV-1,Civet
1,AY613951,SARS-CoV-1,Civet
1,AY613948,SARS-CoV-1,Civet
1,AY627045,SARS-CoV-1,Civet
-1,MN908947,SARS-CoV-2,Human
1,AY278741,SARS-CoV-1,Human
1,AY278489,SARS-CoV-1,Human
1,AY278487,SARS-CoV-1,Human
1,AY394979,SARS-CoV-1,Human
1,AY394981,SARS-CoV-1,Human
1,AY485277,SARS-CoV-1,Human
1,AY525636,SARS-CoV-1,Human
1,AY559082,SARS-CoV-1,Human
1,AY613947,SARS-CoV-1,Human
1,QRN78347.1,SARS-CoV-2,Human
-1,QWK65230.1,SARS-CoV-2,Human
-1,EPI_ISL_410544,Pangolin Virus,Pangolin
1,EPI_ISL_410542,Pangolin Virus,Pangolin
0,ALA49363.1,MERSV,Camel
0,ATG84833.1,MERSV,Human
0,ALA49374.1,MERSV,Camel
0,AHZ58501.1,MERSV,Human
0,ALA49836.1,MERSV,Camel
0,ANF29239.1,MERSV,Human
0,AKO69634.1,MERSV,Camel
0,ALJ54491.1,MERSV,Human
0,ANC28634.1,MERSV,Human
0,AID55088.1,MERSV,Human
0,ALJ54446.1,MERSV,Human
0,ALA50067.1,MERSV,Camel
0,ALK80291.1,MERSV,Human
0,AGV08379.1,MERSV,Human
0,ALJ54518.1,MERSV,Human
0,AHY22545.1,MERSV,Camel
0,ASU90329.1,MERSV,Camel
0,AKN24803.1,MERSV,Human
0,ASU90527.1,MERSV,Camel
0,AKL59401.1,MERSV,Human
0,ASY99842.1,MERSV,Human
0,YP_009072440.1,Hibecovirus,Bat
