t-SNE component 1,t-SNE component 2,Cluster,Seq ID,Variant,Pango lineage
-5.242059622615124,9.860376075122787,0,EPI_ISL_10138509,Omicron, B.1.617.2
-4.298792616919116,10.138953212451286,0,EPI_ISL_16663378,Omicron, BQ.1
-4.922659596385581,9.885055865891212,0,EPI_ISL_8843404,Omicron, B.1.1.529
-7.4594881396785215,8.442129483952026,0,EPI_ISL_5133095,Delta, AY.4
-7.459534285222948,8.442171468721144,0,EPI_ISL_12007398,Delta, AY.98.1
-7.459534286112385,8.442171458931702,0,EPI_ISL_13829771,Delta, AY.33
-7.459534286111888,8.442171458937901,0,EPI_ISL_3705511,Delta, AY.6
-7.459540678543678,8.442142285463111,0,EPI_ISL_7121500,Delta, AY.43
-7.459534286112385,8.442171458931702,0,EPI_ISL_14595785,Delta, B.1.617.2
-7.459544162408097,8.442171359135989,0,EPI_ISL_3783146,Delta, AY.9.2
-7.459616538383196,8.442091532567483,0,EPI_ISL_7455635,Delta, AY.118
-7.45952932406851,8.44209052700653,0,EPI_ISL_5854273,Delta, AY.126
-7.459577767004564,8.44211140141326,0,EPI_ISL_6584973,Delta, AY.119
-7.459577767004564,8.44211140141326,0,EPI_ISL_7593871,Delta, AY.43
-7.459561964669566,8.442171813867809,0,EPI_ISL_7706078,Delta, AY.3
-7.459616538383196,8.442091532567483,0,EPI_ISL_8053026,Delta, AY.4
-7.459533866214129,8.442172126388567,0,EPI_ISL_9216751,Delta, AY.98.1
-7.459544162408097,8.442171359135989,0,EPI_ISL_7659368,Delta, AY.3
-7.459561964669566,8.442171813867809,0,EPI_ISL_2145272,Delta, B.1.617.2
-7.459577767681835,8.442111393186776,0,EPI_ISL_4442531,Delta, AY.4
-7.459569521415106,8.442141928001803,0,EPI_ISL_4563572,Delta, AY.103
-7.459533866214129,8.442172126388567,0,EPI_ISL_6462867,Delta, AY.36
-7.459569521415106,8.442141928001803,0,EPI_ISL_5988067,Delta, AY.44
-7.459561964669566,8.442171813867809,0,EPI_ISL_6458783,Delta, AY.32
-7.459561964669566,8.442171813867809,0,EPI_ISL_6824238,Delta, AY.43
-7.459542417823663,8.442142393215258,0,EPI_ISL_8178937,Delta, AY.103
-3.5681172296110493,16.570935905046802,0,EPI_ISL_11935359,Delta, AY.4
-3.5678229664960015,16.57122770906521,0,EPI_ISL_11942369,Delta, AY.4
-3.5676853853648707,16.570904091165442,0,EPI_ISL_3562929,Delta, AY.6
-3.567685386418028,16.57090410606718,0,EPI_ISL_13829854,Delta, AY.122
-3.5676852232104244,16.57090041938613,0,EPI_ISL_3691284,Delta, AY.43
-3.567685223210428,16.570900419386184,0,EPI_ISL_3695857,Delta, AY.23
